;Education;Marital_Status;Income;Kidhome;Teenhome;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Complain;Response;Education_Level;Age;Total_Campaigns_Accepted;Average_Spend;Spent;Is_Parent;total_spending;avg_web_visits;online_purchase_ratio
1007;Graduation;Together;83844.0;0;0;57;901;31;345;75;31;191;1;4;4;11;1;0;0;1;0;0;0;0;High;71;1;1574.0;2475;0;1574;0.08333333333333333;0.21052631578947367
1008;Graduation;Married;19514.0;1;1;47;14;3;21;2;1;28;4;3;1;2;8;1;0;0;0;0;0;0;High;55;1;17.25;83;1;69;0.6666666666666666;0.5
1009;PhD;Single;36736.0;1;1;52;10;0;3;0;0;4;1;1;0;2;6;0;0;0;0;0;0;0;High;60;0;17.0;27;1;17;0.5;0.3333333333333333
1010;Graduation;Together;77568.0;0;1;30;1230;0;396;232;178;158;1;10;2;8;5;0;1;1;1;0;0;0;High;44;3;2194.0;3424;1;2194;0.4166666666666667;0.5
1011;PhD;Together;49187.0;0;1;63;81;1;31;2;1;0;1;1;1;5;2;0;0;0;0;0;0;0;High;47;0;116.0;197;1;116;0.16666666666666666;0.14285714285714285
1012;Graduation;Single;30168.0;1;0;51;154;20;66;0;12;27;7;6;1;4;9;0;0;0;0;0;0;0;High;45;0;39.857142857142854;433;1;279;0.75;0.5454545454545454
1013;Master;Together;34053.0;0;1;14;63;0;21;7;0;12;1;3;0;3;8;0;0;0;0;0;0;0;High;55;0;103.0;166;1;103;0.6666666666666666;0.5
1014;Master;Married;38196.0;1;1;20;30;0;11;0;0;3;3;2;0;4;5;0;0;0;0;0;0;0;High;52;0;14.666666666666666;74;1;44;0.4166666666666667;0.3333333333333333
1015;Master;Married;59412.0;0;0;56;90;67;165;30;43;11;1;4;2;8;3;0;0;0;0;0;0;0;High;72;0;406.0;496;0;406;0.25;0.2857142857142857
1016;2n Cycle;Married;70924.0;0;0;41;635;114;254;132;152;76;1;6;6;7;3;0;0;1;0;0;0;0;Low;58;1;1363.0;1998;0;1363;0.25;0.3157894736842105
1017;Graduation;Together;54165.0;0;0;72;127;4;73;15;6;11;1;2;1;7;2;0;0;0;0;0;0;0;High;54;0;236.0;363;0;236;0.16666666666666666;0.2
1018;Graduation;Married;32300.0;1;0;1;13;3;6;6;5;6;1;1;0;3;8;0;0;0;0;0;0;0;High;50;0;39.0;52;1;39;0.6666666666666666;0.25
1019;Graduation;Single;20180.0;0;0;27;18;42;24;15;20;18;1;2;1;4;7;0;0;0;0;0;0;0;High;47;0;137.0;155;0;137;0.5833333333333334;0.2857142857142857
1020;Graduation;Married;34961.0;1;0;77;45;2;26;4;1;1;3;3;1;3;7;0;0;0;0;0;0;0;High;50;0;26.333333333333332;124;1;79;0.5833333333333334;0.42857142857142855
1021;PhD;Together;28440.0;1;0;87;38;1;24;0;0;0;1;2;0;3;8;0;0;0;0;0;0;0;High;49;0;63.0;101;1;63;0.6666666666666666;0.4
1022;PhD;Together;64504.0;1;2;81;986;36;168;16;0;108;7;11;3;4;7;0;0;0;0;0;0;1;High;70;0;187.71428571428572;2300;1;1314;0.5833333333333334;0.6111111111111112
1023;Master;Together;33564.0;0;1;51;61;0;3;0;0;7;1;1;1;3;5;0;0;0;0;0;0;0;High;57;0;71.0;132;1;71;0.4166666666666667;0.2
1024;Graduation;Married;17345.0;1;0;79;4;9;16;17;0;12;2;2;1;2;8;0;0;0;0;0;0;0;High;45;0;29.0;62;1;58;0.6666666666666666;0.4
1025;PhD;Married;56320.0;0;1;11;201;53;172;116;77;83;3;5;4;9;4;0;0;0;0;0;0;0;High;56;0;234.0;903;1;702;0.3333333333333333;0.2777777777777778
1026;Graduation;Single;28647.0;1;0;54;19;8;29;0;12;26;1;2;2;2;7;1;0;0;0;0;0;1;High;45;1;94.0;113;1;94;0.5833333333333334;0.3333333333333333
1027;Basic;Single;15038.0;1;0;93;4;8;11;19;12;26;2;2;1;2;9;0;0;0;0;0;0;0;Middle;36;0;40.0;84;1;80;0.75;0.4
1028;PhD;Divorced;32173.0;0;1;0;18;0;2;0;0;2;1;1;0;3;4;0;0;0;0;0;0;0;High;65;0;22.0;40;1;22;0.3333333333333333;0.25
1029;2n Cycle;Together;68316.0;0;1;54;806;80;161;120;11;33;5;10;7;10;6;0;0;0;0;0;0;0;Low;59;0;242.2;2017;1;1211;0.5;0.37037037037037035
1030;Graduation;Together;74538.0;0;0;21;380;98;733;110;112;28;1;8;8;5;3;0;0;1;0;0;0;1;High;52;1;1461.0;1841;0;1461;0.25;0.38095238095238093
1031;Graduation;Single;91700.0;0;0;58;576;172;961;125;115;19;1;8;6;5;3;0;0;0;0;0;0;1;High;52;0;1968.0;2544;0;1968;0.25;0.42105263157894735
1032;Graduation;Together;68695.0;0;0;3;458;81;356;106;50;40;1;4;4;7;2;0;0;0;0;0;0;0;High;54;0;1091.0;1549;0;1091;0.16666666666666666;0.26666666666666666
1033;2n Cycle;Married;31056.0;1;0;99;5;10;13;3;8;16;1;1;0;3;8;0;0;0;0;0;0;0;Low;46;0;55.0;60;1;55;0.6666666666666666;0.25
1034;Graduation;Married;79593.0;0;0;70;350;60;568;110;133;145;1;5;6;7;2;0;0;1;0;0;0;0;High;50;1;1366.0;1716;0;1366;0.16666666666666666;0.2777777777777778
1035;Graduation;Single;28071.0;0;0;65;39;33;130;41;26;44;2;5;1;5;8;0;0;0;0;0;0;0;High;43;0;156.5;352;0;313;0.6666666666666666;0.45454545454545453
1036;PhD;Together;37334.0;1;1;44;26;1;16;2;2;15;4;3;0;4;4;0;0;0;0;0;0;0;High;65;0;15.5;88;1;62;0.3333333333333333;0.42857142857142855
1037;Master;Single;46423.0;1;1;6;68;0;16;0;0;8;3;2;0;4;7;0;0;0;0;0;0;0;High;51;0;30.666666666666668;160;1;92;0.5833333333333334;0.3333333333333333
1038;PhD;Married;37126.0;1;0;9;45;3;9;4;4;7;1;1;2;2;6;1;0;0;0;0;0;1;High;52;1;72.0;117;1;72;0.5;0.2
1039;Graduation;Married;47703.0;0;1;95;359;0;134;13;26;123;4;6;3;8;5;0;0;0;0;0;0;0;High;70;0;163.75;1014;1;655;0.4166666666666667;0.35294117647058826
1040;Graduation;Married;61180.0;0;1;70;403;24;29;6;24;218;2;5;5;6;3;1;0;0;0;0;0;0;High;64;1;352.0;1107;1;704;0.25;0.3125
1041;Graduation;Married;38998.0;1;1;92;34;1;14;0;0;5;3;2;0;3;8;0;0;0;0;0;1;0;High;69;0;18.0;88;1;54;0.6666666666666666;0.4
1042;Graduation;Single;8028.0;0;0;62;73;18;66;7;12;2;15;0;1;0;19;0;0;0;0;0;0;0;High;32;0;11.866666666666667;251;0;178;1.5833333333333333;0.0
1043;Graduation;Together;76081.0;0;0;85;292;30;415;63;33;200;1;4;5;4;2;0;0;0;1;0;0;0;High;61;1;1033.0;1325;0;1033;0.16666666666666666;0.3076923076923077
1044;Graduation;Together;34728.0;1;0;2;14;0;16;0;0;6;1;1;1;2;6;0;0;0;0;0;0;1;High;37;0;36.0;50;1;36;0.5;0.25
1045;Master;Single;33168.0;0;1;0;80;1;37;0;1;3;3;2;1;4;7;0;0;0;0;0;0;0;High;58;0;40.666666666666664;202;1;122;0.5833333333333334;0.2857142857142857
1046;Master;Married;33585.0;0;1;91;30;11;33;13;6;29;1;2;0;4;4;0;0;0;0;0;0;0;High;57;0;122.0;152;1;122;0.3333333333333333;0.3333333333333333
1047;PhD;Married;77037.0;0;1;3;463;96;333;168;53;10;1;7;7;12;3;0;0;0;0;0;0;0;High;63;0;1123.0;1586;1;1123;0.25;0.2692307692307692
1048;Graduation;Together;35196.0;1;0;68;75;12;141;43;39;187;6;6;1;5;8;0;0;0;0;0;0;1;High;39;0;82.83333333333333;572;1;497;0.6666666666666666;0.5
1049;Graduation;Married;44529.0;0;1;98;538;13;91;17;6;26;6;6;2;11;5;0;1;0;0;0;0;0;High;57;1;115.16666666666667;1229;1;691;0.4166666666666667;0.3157894736842105
1050;2n Cycle;Married;70924.0;0;0;41;635;114;254;132;152;76;1;6;6;7;3;0;0;1;0;0;0;0;Low;58;1;1363.0;1998;0;1363;0.25;0.3157894736842105
1051;PhD;Together;28764.0;1;1;16;8;0;3;0;0;1;1;1;0;2;8;1;0;0;0;0;0;0;High;57;1;12.0;20;1;12;0.6666666666666666;0.3333333333333333
1052;PhD;Married;69098.0;0;0;82;1315;22;780;145;0;178;1;7;8;9;5;0;0;0;0;0;0;0;High;74;0;2440.0;3755;0;2440;0.4166666666666667;0.2916666666666667
1053;2n Cycle;Divorced;25959.0;1;1;1;4;2;12;7;5;26;2;1;2;2;6;0;0;0;0;0;0;1;Low;53;0;28.0;60;1;56;0.5;0.2
1054;Master;Married;27100.0;1;0;64;12;0;13;2;0;10;1;1;0;3;7;0;0;0;0;0;0;0;High;40;0;37.0;49;1;37;0.5833333333333334;0.25
1055;Graduation;Single;70596.0;0;0;68;347;44;534;17;0;26;1;3;5;12;2;0;0;0;0;0;0;0;High;38;0;968.0;1315;0;968;0.16666666666666666;0.15
1056;Graduation;Married;42557.0;0;1;98;192;5;53;0;5;15;4;6;1;4;8;0;0;0;0;0;0;0;High;49;0;67.5;462;1;270;0.6666666666666666;0.5454545454545454
1057;PhD;Married;53312.0;0;0;32;241;0;12;0;0;25;1;5;1;5;7;0;0;0;0;0;0;0;High;72;0;278.0;519;0;278;0.5833333333333334;0.45454545454545453
1058;Graduation;Single;72228.0;0;0;87;631;28;491;30;14;56;1;6;7;8;3;0;0;0;0;0;0;0;High;71;0;1250.0;1881;0;1250;0.25;0.2857142857142857
1059;Graduation;Together;67605.0;0;0;84;336;28;282;184;54;54;1;2;8;6;1;0;0;0;0;0;0;0;High;36;0;938.0;1274;0;938;0.08333333333333333;0.125
1060;Master;Married;62845.0;1;1;3;1099;0;45;0;0;34;11;3;4;10;8;0;1;0;0;0;0;0;High;74;1;107.0909090909091;2277;1;1178;0.6666666666666666;0.17647058823529413
1061;Graduation;Together;65196.0;0;2;34;743;19;181;12;0;200;2;7;6;11;5;1;0;0;0;0;0;0;High;65;1;577.5;1898;1;1155;0.4166666666666667;0.2916666666666667
1062;PhD;Single;42000.0;0;0;23;124;83;267;85;59;35;2;5;2;11;5;0;0;0;0;0;0;1;High;36;0;326.5;777;0;653;0.4166666666666667;0.2777777777777778
1063;PhD;Divorced;35860.0;1;1;37;15;0;8;4;2;20;2;1;1;2;5;1;0;0;0;0;0;0;High;50;1;24.5;64;1;49;0.4166666666666667;0.25
1064;PhD;Married;65526.0;0;1;22;397;19;69;12;0;9;1;4;4;8;2;0;0;0;0;0;0;0;High;59;0;506.0;903;1;506;0.16666666666666666;0.25
1065;Graduation;Married;16860.0;1;1;19;10;4;4;3;3;14;3;1;1;3;7;0;0;0;0;0;0;0;High;62;0;12.666666666666666;48;1;38;0.5833333333333334;0.2
1066;Graduation;Single;83528.0;0;0;7;530;117;678;134;44;147;1;4;10;8;1;1;0;0;1;0;0;1;High;31;2;1650.0;2180;0;1650;0.08333333333333333;0.18181818181818182
1067;2n Cycle;Divorced;64176.0;0;1;52;1215;33;249;64;116;149;8;8;9;8;6;0;0;0;0;0;0;0;Low;58;0;228.25;3041;1;1826;0.5;0.32
1068;Graduation;Divorced;22304.0;0;0;91;3;2;7;0;4;2;1;1;0;2;8;0;0;0;0;0;0;0;High;67;0;18.0;21;0;18;0.6666666666666666;0.3333333333333333
1069;Graduation;Married;67023.0;0;0;93;444;44;382;11;8;17;1;3;7;13;2;0;0;0;0;0;1;0;High;45;0;906.0;1350;0;906;0.16666666666666666;0.13043478260869565
1070;PhD;Together;32892.0;1;0;78;26;0;15;2;1;2;2;3;0;3;8;0;0;0;0;0;0;0;High;52;0;23.0;72;1;46;0.6666666666666666;0.5
1071;Graduation;Together;70713.0;0;1;23;736;114;279;82;76;190;6;5;6;8;3;0;0;0;0;0;0;0;High;57;0;246.16666666666666;2213;1;1477;0.25;0.2631578947368421
1072;Graduation;Together;59925.0;0;1;83;473;21;176;19;21;56;3;9;2;9;6;0;0;0;0;0;0;0;High;68;0;255.33333333333334;1239;1;766;0.5;0.45
1073;Graduation;Married;39722.0;0;1;92;32;0;5;2;0;8;2;2;0;3;5;0;0;0;0;0;0;0;High;70;0;23.5;79;1;47;0.4166666666666667;0.4
1074;Graduation;Together;46610.0;0;0;4;288;10;30;4;10;125;1;6;1;6;6;0;0;0;0;0;0;0;High;65;0;467.0;755;0;467;0.5;0.46153846153846156
1075;Graduation;Together;88347.0;0;0;32;1050;178;555;77;138;118;1;4;7;9;1;0;0;0;1;0;0;0;High;62;1;2116.0;3166;0;2116;0.08333333333333333;0.2
1076;PhD;Married;87171.0;0;0;27;1001;44;107;58;44;44;1;6;7;11;2;1;0;1;0;0;0;0;High;42;2;1298.0;2299;0;1298;0.16666666666666666;0.25
1077;2n Cycle;Together;26907.0;1;1;10;9;1;7;0;3;2;2;1;0;3;7;0;0;0;0;0;0;0;Low;47;0;11.0;31;1;22;0.5833333333333334;0.25
1078;Master;Single;50014.0;1;0;9;234;14;77;19;10;42;2;4;1;8;5;0;0;0;0;0;0;0;High;55;0;198.0;630;1;396;0.4166666666666667;0.3076923076923077
1079;PhD;Married;41014.0;1;0;65;7;2;6;2;0;3;1;1;0;2;7;0;0;0;0;0;0;0;High;45;0;20.0;27;1;20;0.5833333333333334;0.3333333333333333
1080;Graduation;Single;66294.0;0;0;68;251;108;334;65;92;117;1;4;3;5;2;0;0;0;0;0;0;0;High;58;0;967.0;1218;0;967;0.16666666666666666;0.3333333333333333
1081;Graduation;Married;36715.0;1;0;16;172;10;125;21;13;16;6;7;2;4;9;0;0;0;0;0;0;1;High;52;0;59.5;529;1;357;0.75;0.5384615384615384
1082;Graduation;Married;79456.0;0;0;12;565;42;548;64;83;99;1;5;6;4;3;0;0;0;0;0;0;1;High;67;0;1401.0;1966;0;1401;0.25;0.3333333333333333
1083;Graduation;Together;40479.0;1;0;95;5;0;8;2;0;0;1;0;0;3;4;0;0;0;0;0;0;0;High;41;0;15.0;20;1;15;0.3333333333333333;0.0
1084;Master;Single;75345.0;0;0;16;918;57;842;99;38;133;1;5;8;6;3;0;0;0;1;0;0;1;High;53;1;2087.0;3005;0;2087;0.25;0.2631578947368421
1085;Graduation;Married;54233.0;0;1;46;652;8;158;21;0;142;4;11;6;5;8;0;0;0;0;0;0;0;High;46;0;245.25;1633;1;981;0.6666666666666666;0.5
1086;Graduation;Single;24163.0;1;1;3;4;1;7;2;1;2;2;1;0;3;4;0;0;0;0;0;0;0;High;53;0;8.5;21;1;17;0.3333333333333333;0.25
1087;PhD;Together;84460.0;0;0;80;152;27;103;106;54;81;0;9;9;4;5;0;1;1;1;1;0;1;High;65;4;inf;675;0;523;0.4166666666666667;0.4090909090909091
1088;Graduation;Together;43776.0;1;0;77;8;0;9;2;1;3;1;1;0;2;6;0;0;0;0;0;0;0;High;40;0;23.0;31;1;23;0.5;0.3333333333333333
1089;PhD;Single;71691.0;0;0;0;336;130;411;240;32;43;1;4;7;5;2;0;0;0;0;0;0;1;High;65;0;1192.0;1528;0;1192;0.16666666666666666;0.25
1090;PhD;Married;85844.0;0;0;62;938;19;843;25;95;38;1;6;6;7;2;0;0;1;0;0;0;0;High;50;1;1958.0;2896;0;1958;0.16666666666666666;0.3157894736842105
1091;PhD;Single;39190.0;1;0;91;68;8;18;19;8;12;2;2;1;4;5;0;0;0;0;0;0;0;High;49;0;66.5;201;1;133;0.4166666666666667;0.2857142857142857
1092;Graduation;Together;71367.0;0;0;24;227;23;389;42;21;75;1;4;5;7;2;0;0;0;0;0;0;0;High;64;0;777.0;1004;0;777;0.16666666666666666;0.25
1093;PhD;Single;38578.0;1;1;2;38;4;22;3;3;3;3;3;0;3;8;0;0;0;0;0;0;0;High;51;0;24.333333333333332;111;1;73;0.6666666666666666;0.5
1094;PhD;Married;57236.0;1;1;22;105;0;9;2;1;4;3;2;1;4;3;0;0;0;0;0;0;0;High;58;0;40.333333333333336;226;1;121;0.25;0.2857142857142857
1095;Graduation;Single;61825.0;0;1;56;162;50;100;55;30;27;1;4;2;8;4;0;0;0;0;0;0;0;High;44;0;424.0;586;1;424;0.3333333333333333;0.2857142857142857
1096;Graduation;Divorced;79803.0;0;1;54;574;8;216;21;16;33;1;4;3;5;1;0;0;0;0;0;0;0;High;65;0;868.0;1442;1;868;0.08333333333333333;0.3333333333333333
1097;2n Cycle;Single;80910.0;0;0;71;160;80;369;67;39;41;1;3;3;8;1;0;0;0;0;0;0;0;Low;37;0;756.0;916;0;756;0.08333333333333333;0.21428571428571427
1098;Master;Together;27590.0;1;0;38;6;0;5;0;0;1;1;1;0;2;7;0;0;0;0;0;0;0;High;41;0;12.0;18;1;12;0.5833333333333334;0.3333333333333333
1099;Graduation;Married;56775.0;0;1;62;614;35;160;58;35;35;2;5;8;10;5;0;0;0;0;0;0;0;High;44;0;468.5;1551;1;937;0.4166666666666667;0.21739130434782608
1100;Graduation;Divorced;83829.0;0;0;78;897;161;430;186;161;27;0;4;7;6;1;1;0;1;1;0;0;1;High;48;3;inf;2759;0;1862;0.08333333333333333;0.23529411764705882
1101;2n Cycle;Married;54210.0;0;1;18;70;54;109;80;9;45;2;4;1;7;5;0;0;0;0;0;0;0;Low;44;0;183.5;437;1;367;0.4166666666666667;0.3333333333333333
1102;Graduation;Married;38508.0;1;0;95;120;19;206;25;19;54;6;7;2;5;8;0;0;0;0;0;0;0;High;37;0;73.83333333333333;563;1;443;0.6666666666666666;0.5
1103;Graduation;Together;53187.0;1;0;66;211;2;30;7;7;10;2;4;1;6;5;0;0;0;0;0;0;0;High;53;0;133.5;478;1;267;0.4166666666666667;0.36363636363636365
1104;Graduation;Married;30023.0;1;0;28;11;0;16;7;6;21;1;2;0;3;8;0;0;0;0;0;0;0;High;51;0;61.0;72;1;61;0.6666666666666666;0.4
1105;PhD;Single;76045.0;0;0;78;760;53;400;17;93;0;1;4;5;11;2;0;0;0;1;0;0;0;High;63;1;1323.0;2083;0;1323;0.16666666666666666;0.2
1106;PhD;Married;50870.0;0;1;13;53;0;8;0;0;2;1;2;0;3;5;0;0;0;0;0;0;0;High;71;0;63.0;116;1;63;0.4166666666666667;0.4
1107;2n Cycle;Married;15315.0;0;0;27;7;4;13;15;8;17;2;2;0;4;5;0;0;0;0;0;0;0;Low;53;0;32.0;71;0;64;0.4166666666666667;0.3333333333333333
1108;2n Cycle;Married;65463.0;1;0;17;391;32;70;21;32;16;2;6;2;9;5;0;1;0;0;0;0;0;Low;49;1;281.0;953;1;562;0.4166666666666667;0.35294117647058826
1109;Graduation;Married;66480.0;1;1;71;199;9;57;20;21;6;7;4;1;7;4;0;0;0;0;0;0;0;High;58;0;44.57142857142857;511;1;312;0.3333333333333333;0.3333333333333333
1110;Graduation;Divorced;76773.0;0;0;79;516;56;449;86;33;16;1;2;2;11;1;0;0;0;0;0;0;0;High;69;0;1156.0;1672;0;1156;0.08333333333333333;0.13333333333333333
1111;2n Cycle;Single;81698.0;0;0;1;709;45;115;30;160;45;1;8;2;5;5;0;0;0;1;0;0;1;Low;40;1;1104.0;1813;0;1104;0.4166666666666667;0.5333333333333333
1112;PhD;Single;54466.0;1;1;78;12;0;4;0;0;0;1;1;0;2;5;0;0;0;0;0;0;0;High;50;0;16.0;28;1;16;0.4166666666666667;0.3333333333333333
1113;Master;Single;98777.0;0;0;23;1000;19;711;125;115;38;0;4;6;9;1;0;1;0;0;0;0;0;High;63;1;inf;3008;0;2008;0.08333333333333333;0.21052631578947367
1114;PhD;Single;16269.0;1;0;75;19;3;18;3;1;0;3;3;0;3;8;0;0;0;0;0;0;0;High;39;0;14.666666666666666;63;1;44;0.6666666666666666;0.5
1115;Graduation;Together;71819.0;0;1;70;1224;28;140;0;14;168;3;3;3;5;6;0;1;1;0;0;0;0;High;52;2;524.6666666666666;2798;1;1574;0.5;0.2727272727272727
1116;PhD;Married;33569.0;1;0;10;16;2;18;3;0;24;1;1;1;2;8;1;0;0;0;0;0;1;High;40;1;63.0;79;1;63;0.6666666666666666;0.25
1117;Master;Married;36262.0;0;0;24;88;39;54;64;28;153;1;3;5;3;6;1;0;0;0;0;0;1;High;40;1;426.0;514;0;426;0.5;0.2727272727272727
1118;Basic;Together;22634.0;0;0;47;2;23;11;8;6;46;1;2;1;2;8;0;0;0;0;0;0;0;Middle;57;0;96.0;98;0;96;0.6666666666666666;0.4
1119;2n Cycle;Married;47025.0;0;1;98;508;11;59;23;5;29;5;11;1;6;9;0;0;0;0;0;0;0;Low;45;0;127.0;1143;1;635;0.75;0.6111111111111112
1120;Graduation;Single;70566.0;0;1;4;381;28;215;84;28;21;2;6;5;9;3;0;0;0;0;0;0;0;High;55;0;378.5;1138;1;757;0.25;0.3
1121;PhD;Married;31605.0;1;0;15;74;0;42;2;1;6;2;2;1;4;7;0;0;0;0;0;0;0;High;44;0;62.5;199;1;125;0.5833333333333334;0.2857142857142857
1122;Master;Divorced;52034.0;1;1;67;146;0;93;7;13;73;5;4;2;5;7;0;0;0;0;0;0;0;High;50;0;66.4;478;1;332;0.5833333333333334;0.36363636363636365
1123;Graduation;Single;48526.0;1;0;32;23;17;23;43;20;9;1;2;1;4;3;0;0;0;0;0;0;0;High;44;0;135.0;158;1;135;0.25;0.2857142857142857
1124;Graduation;Married;46734.0;0;1;40;110;5;137;26;23;29;2;6;1;5;7;0;0;0;0;0;0;0;High;69;0;165.0;440;1;330;0.5833333333333334;0.5
1125;Graduation;Divorced;39552.0;1;1;54;165;3;147;4;24;41;7;6;2;5;8;0;0;0;0;0;0;1;High;61;0;54.857142857142854;549;1;384;0.6666666666666666;0.46153846153846156
1126;Graduation;Single;86358.0;1;1;78;957;47;494;82;47;95;4;5;3;6;8;0;0;0;0;0;0;0;High;57;0;430.5;2679;1;1722;0.6666666666666666;0.35714285714285715
1127;Graduation;Together;46931.0;2;1;94;41;0;17;3;1;16;2;1;1;3;3;0;0;0;0;0;0;0;High;46;0;39.0;119;1;78;0.25;0.2
1128;Basic;Single;16581.0;0;0;51;1;3;4;2;3;11;1;0;0;3;4;0;0;0;0;0;0;0;Middle;38;0;24.0;25;0;24;0.3333333333333333;0.0
1129;2n Cycle;Divorced;63998.0;0;0;42;176;29;818;0;33;112;1;7;6;11;4;0;0;0;0;0;0;1;Low;71;0;1168.0;1344;0;1168;0.3333333333333333;0.2916666666666667
1130;Master;Married;67381.0;0;1;67;815;8;53;11;0;70;4;2;2;9;7;0;1;0;0;0;0;0;High;72;1;239.25;1772;1;957;0.5833333333333334;0.15384615384615385
1131;Graduation;Single;25930.0;1;1;87;6;1;2;2;0;4;1;1;0;2;7;0;0;0;0;0;0;0;High;56;0;15.0;21;1;15;0.5833333333333334;0.3333333333333333
1132;Graduation;Married;42693.0;1;0;29;8;4;20;6;3;16;1;1;0;3;5;0;0;0;0;0;0;0;High;45;0;57.0;65;1;57;0.4166666666666667;0.25
1133;Graduation;Together;85606.0;0;1;89;717;42;864;219;30;84;2;6;7;9;3;0;0;0;1;0;0;0;High;47;1;978.0;2673;1;1956;0.25;0.2727272727272727
1134;Graduation;Single;72903.0;0;0;74;1067;138;750;0;19;39;1;7;5;8;4;0;1;1;1;0;0;1;High;38;3;2013.0;3080;0;2013;0.3333333333333333;0.35
1135;2n Cycle;Together;49669.0;1;0;97;166;5;107;11;8;29;2;5;1;6;6;0;0;0;0;0;0;0;Low;49;0;163.0;492;1;326;0.5;0.4166666666666667
1136;PhD;Married;36778.0;1;1;63;29;4;34;2;4;4;3;3;0;3;9;0;0;0;0;0;0;0;High;55;0;25.666666666666668;106;1;77;0.75;0.5
1137;PhD;Divorced;85696.0;0;0;88;714;76;395;116;0;12;1;4;6;9;1;0;0;0;0;0;0;1;High;61;0;1313.0;2027;0;1313;0.08333333333333333;0.21052631578947367
1138;Master;Divorced;10979.0;0;0;34;8;4;10;2;2;4;2;3;0;3;5;0;0;0;0;0;0;0;High;34;0;15.0;38;0;30;0.4166666666666667;0.5
1139;Graduation;Married;49678.0;0;1;81;229;5;56;3;2;20;2;6;2;4;7;0;0;0;0;0;0;0;High;62;0;157.5;544;1;315;0.5833333333333334;0.5
1140;Master;Together;56129.0;0;1;65;320;48;133;39;72;48;4;6;2;10;4;0;0;0;0;0;0;0;High;70;0;165.0;980;1;660;0.3333333333333333;0.3333333333333333
1141;Graduation;Married;37155.0;1;0;51;23;0;26;7;15;3;1;2;0;4;5;0;0;0;0;0;0;0;High;34;0;74.0;97;1;74;0.4166666666666667;0.3333333333333333
1142;2n Cycle;Divorced;21282.0;1;0;76;1;5;8;4;8;20;2;2;1;2;6;0;0;0;0;0;0;0;Low;45;0;23.0;47;1;46;0.5;0.4
1143;PhD;Single;33419.0;0;1;76;56;0;12;0;0;18;2;2;0;4;7;0;0;0;0;0;0;0;High;61;0;43.0;142;1;86;0.5833333333333334;0.3333333333333333
1144;Graduation;Widow;63285.0;0;0;84;508;124;249;50;38;134;1;6;5;13;3;0;0;0;0;0;0;0;High;78;0;1103.0;1611;0;1103;0.25;0.25
1145;Master;Together;21255.0;1;0;56;29;0;25;2;2;3;4;2;1;4;4;0;0;0;0;0;0;0;High;49;0;15.25;90;1;61;0.3333333333333333;0.2857142857142857
1146;Graduation;Together;42162.0;1;0;31;46;7;59;2;4;27;2;3;1;3;6;1;0;0;0;0;0;1;High;42;1;72.5;191;1;145;0.5;0.42857142857142855
1147;Graduation;Together;54450.0;1;1;0;454;0;171;8;19;32;12;9;2;8;8;0;0;0;0;0;0;0;High;67;0;57.0;1138;1;684;0.6666666666666666;0.47368421052631576
1148;PhD;Married;57744.0;0;1;91;350;3;39;0;0;19;2;9;1;4;8;0;0;0;0;0;0;0;High;69;0;205.5;761;1;411;0.6666666666666666;0.6428571428571429
1149;Graduation;Single;26576.0;1;0;40;10;0;8;0;0;9;1;1;0;2;9;1;0;0;0;0;0;1;High;37;1;27.0;37;1;27;0.75;0.3333333333333333
1150;PhD;Widow;57513.0;0;0;59;735;40;183;52;20;30;2;9;3;13;6;0;0;0;0;0;0;0;High;80;0;530.0;1795;0;1060;0.5;0.36
1151;Graduation;Together;68142.0;0;1;96;897;126;196;91;112;37;3;10;4;7;6;0;0;0;0;0;0;0;High;59;0;486.3333333333333;2356;1;1459;0.5;0.47619047619047616
1152;Graduation;Married;7500.0;0;1;61;5;2;3;3;0;5;1;1;0;2;8;0;0;0;0;0;0;0;High;44;0;18.0;23;1;18;0.6666666666666666;0.3333333333333333
1153;Graduation;Together;83145.0;0;0;14;777;35;731;39;137;114;1;5;9;11;2;0;0;1;0;0;0;1;High;49;1;1833.0;2610;0;1833;0.16666666666666666;0.2
1154;Master;Married;54197.0;0;1;16;162;6;37;6;13;13;2;1;3;6;1;0;0;0;0;0;0;0;High;63;0;118.5;399;1;237;0.08333333333333333;0.1
1155;PhD;Single;23091.0;1;1;98;35;0;11;0;0;2;4;2;1;3;7;0;0;0;0;0;0;0;High;60;0;12.0;83;1;48;0.5833333333333334;0.3333333333333333
1156;Graduation;Married;46049.0;1;1;11;342;9;112;19;14;19;10;5;2;9;7;0;0;0;0;0;0;1;High;47;0;51.5;857;1;515;0.5833333333333334;0.3125
1157;Graduation;Together;56715.0;0;0;52;258;105;239;237;172;9;1;7;3;4;4;0;0;0;0;0;0;0;High;49;0;1020.0;1278;0;1020;0.3333333333333333;0.5
1158;Graduation;Married;79410.0;0;0;19;658;80;483;123;13;13;1;3;2;5;1;0;0;0;0;0;0;0;High;62;0;1370.0;2028;0;1370;0.08333333333333333;0.3
